Unnamed: 0,Route ID,Vessel,Time Window,Profit,Technician Type 1 Demand,Technician Type 2 Demand,Jobs Included,obj price,cost dp
,1,Vessel_1,1,4456.0952380952385,7,4,"5,8,10",4456.095238095239,1127.9999999999998
,2,Vessel_1,2,3493.9714285714326,5,4,"3,5,7,8,10",3493.9714285714313,3249.5999999999963
,3,Vessel_1,3,7606.809523809524,8,4,"2,3,5,8",7606.809523809524,0.0
,4,Vessel_2,1,4426.857142857143,5,4,"5,7,8",4426.857142857142,0.0
,5,Vessel_2,2,5279.857142857143,6,6,"2,5,7,10",5279.857142857143,0.0
,6,Vessel_2,3,3995.857142857143,5,4,"5,6,8",3995.8571428571436,0.0
,7,Vessel_3,1,10384.841904761906,5,4,"3,5,8,10",10384.841904761908,241.91999999999723
,8,Vessel_3,2,9103.52380952381,7,4,"1,5,7,8",9103.523809523811,0.0
,9,Vessel_3,3,4243.9047619047615,5,7,"5,8,9",4243.904761904762,0.0
,10,Vessel_1,1,6202.0,4,3,"7,8,10",6202.000000000002,1127.9999999999995
,11,Vessel_1,2,7104.161904761905,4,8,"1,3,8,9,10",7104.161904761904,2169.6
,12,Vessel_1,3,6729.247619047619,7,4,"3,4,7,8",6729.24761904762,604.8
,13,Vessel_2,1,7348.600000000004,4,3,"7,8,10",7348.600000000005,761.3999999999957
,14,Vessel_2,2,4202.4342857142865,8,4,"6,7,8,10",4202.434285714287,4040.2799999999993
,15,Vessel_2,3,2817.9200000000046,4,4,"1,7,8",2817.9200000000037,1432.0799999999954
,16,Vessel_3,1,11980.12761904762,7,5,"2,3,8,10",11980.127619047616,241.91999999999996
,17,Vessel_3,2,4431.571428571428,4,8,"1,3",4431.571428571429,0.0
,18,Vessel_3,3,9307.18857142857,5,4,"1,2,3,8",9307.18857142857,1338.2400000000002
,19,Vessel_1,1,3840.3333333333335,6,3,"1,4",3840.3333333333326,0.0
,20,Vessel_1,2,4548.809523809524,5,7,"6,9",4548.809523809524,0.0
,21,Vessel_1,3,3212.2380952380963,6,6,"1,4,6,10",3212.2380952380963,2231.999999999999
,22,Vessel_2,1,2459.857142857143,6,2,4,2459.857142857143,0.0
,23,Vessel_2,2,5803.857142857143,2,10,"1,9",5803.857142857143,0.0
,24,Vessel_2,3,6518.571428571428,6,4,"1,2,6",3912.244285714289,0.0
,25,Vessel_3,1,4163.314285714286,5,3,"5,6,7",1489.7842857142834,1094.3999999999999
,26,Vessel_3,2,9999.266666666666,5,7,"1,6,9,10",9255.384285714284,1094.3999999999999
,27,Vessel_3,3,4154.942857142857,5,7,"6,9,10",4154.942857142857,451.1999999999998
,28,Vessel_1,1,7339.495238095239,4,7,"3,7,9",3118.373968253968,609.5999999999997
,29,Vessel_1,2,8833.095238095239,6,6,"1,5,6,7",2996.5936507936517,0.0
,30,Vessel_1,3,3793.3809523809527,6,2,"2,4",1200.889523809523,0.0
,31,Vessel_2,1,9862.662857142857,6,4,"3,4,7,10",3535.084444444446,2193.4799999999996
,32,Vessel_2,2,4215.285714285714,7,4,"2,4,5",545.5523809523801,0.0
,33,Vessel_2,3,7209.142857142857,8,4,"2,3,4",3192.23365079365,0.0
,34,Vessel_3,1,12552.859047619053,5,7,"2,3,7,9",5238.4596825396875,485.75999999999436
,35,Vessel_3,2,4783.9047619047615,6,3,"4,7",3950.7250793650783,0.0
,36,Vessel_3,3,2594.598095238095,9,3,"4,7",1761.4184126984128,848.64
,37,Vessel_1,1,4581.857142857143,5,4,"2,5,8",197.1559999999992,0.0
,38,Vessel_2,1,9555.714285714286,8,4,"3,5,8,10",1753.5384761904752,0.0
,39,Vessel_2,2,136.99999999999977,2,3,5,56.92857142857136,0.0
,40,Vessel_3,2,4217.428571428572,2,7,"5,9",1913.2337142857139,0.0
,41,Vessel_3,3,4033.714285714286,7,4,"2,5",2278.285714285715,0.0
,42,Vessel_2,1,8262.6,9,3,"4,8,10",1129.9226666666655,761.3999999999997
