Route ID,Vessel,Time Window,Profit,Technician Type 1 Demand,Technician Type 2 Demand,Jobs Included,obj price,cost dp
1,Vessel_1,1,4997.666666666666,7,6,"1,2",4997.666666666667,0.0
2,Vessel_1,2,5933.666666666666,7,6,"1,2",5933.666666666667,0.0
3,Vessel_2,1,3624.9085714285716,7,7,"1,2",3624.908571428572,0.0
4,Vessel_2,2,4560.908571428572,7,6,"1,2",4560.908571428572,0.0
5,Vessel_1,1,904.7599999999998,2,3,2,904.76,372.24
6,Vessel_1,2,2833.7599999999998,2,3,2,1897.7600000000002,372.24
7,Vessel_2,2,1114.7542857142857,2,3,2,595.5451428571434,0.0

Total Profit (LP),,,,,,,,,,,5933.666666666666 Routes in optimal [2:1.0]

Total Profit (IP),,,,,,,,,,,5933.666666666666 Routes in optimal [2:1.0]

Execution Time (seconds),,,,,,,,,,,3.086120843887329
